ID,speed_25cm,speed_2m,site,sex,svl,tail,hindlimb_mm,mass_g,field_notes
NB2 35,2.68,1.90,2014 Burn,F,71,108,49,12,1 M FROM NB 41 (M)
NB2 41,4.00,2.33,2014 Burn,M,63,94,49,9.25,1 M FROM NB 35 (F)
NB2 43,3.94,2.67,2014 Burn,F,64,77,43,10,NO BEARD
NB2 44,3.20,2.16,2014 Burn,M,62,90,44,8.75,3 M FROM F NB21
NB2 45,2.90,2.04,2014 Burn,M,62,94,45,9.75,TAIL DROPPED AFTER LAST VIDEO BUT KEPT FOR MEASURMENT
NB2 51,3.55,2.38,2014 Burn,M,67,95,47,11.25,
NB2 52,3.02,2.67,2014 Burn,M,66,101,46,11.25,
NB2 53,3.14,2.52,2014 Burn,F,70,103,46,14,
R NB2 21,2.70,2.36,2014 Burn,F,71,44,44,13,REGROWN TAIL
R NB2 31,2.83,2.35,2014 Burn,F,71,100,48,13.25,WPT: NB R31
